,NAME,S1901_C04_012E
399,ZCTA5 01867,60436
400,ZCTA5 01876,59896
401,ZCTA5 01879,61500
402,ZCTA5 01880,66824
403,ZCTA5 01886,50897
404,ZCTA5 01887,67260
405,ZCTA5 01890,67702
406,ZCTA5 01901,16140
407,ZCTA5 01902,25543
408,ZCTA5 01904,56107
409,ZCTA5 01905,39823
410,ZCTA5 01906,47220
411,ZCTA5 01907,60880
412,ZCTA5 01908,80333
413,ZCTA5 01913,49769
414,ZCTA5 01915,54409
415,ZCTA5 01921,-
416,ZCTA5 01922,-
417,ZCTA5 01923,58571
418,ZCTA5 01929,72171
419,ZCTA5 01930,45520
420,ZCTA5 01937,-
421,ZCTA5 01938,46534
422,ZCTA5 01940,57414
423,ZCTA5 01944,66410
424,ZCTA5 01945,69330
425,ZCTA5 01949,87083
426,ZCTA5 01950,66688
427,ZCTA5 01951,95761
428,ZCTA5 01952,66823
429,ZCTA5 01960,42518
430,ZCTA5 01965,-
431,ZCTA5 01966,46594
432,ZCTA5 01969,54583
433,ZCTA5 01970,55320
434,ZCTA5 01982,55000
435,ZCTA5 01983,38115
436,ZCTA5 01984,34741
437,ZCTA5 01985,80000
438,ZCTA5 02019,54756
439,ZCTA5 02021,58059
440,ZCTA5 02025,43167
441,ZCTA5 02026,62018
442,ZCTA5 02030,119750
443,ZCTA5 02032,82399
444,ZCTA5 02035,41895
445,ZCTA5 02038,56377
446,ZCTA5 02043,47647
447,ZCTA5 02045,64917
448,ZCTA5 02047,-
449,ZCTA5 02048,58477
450,ZCTA5 02050,52596
451,ZCTA5 02052,41136
452,ZCTA5 02053,57165
453,ZCTA5 02054,64111
454,ZCTA5 02056,64550
455,ZCTA5 02061,62188
456,ZCTA5 02062,68523
457,ZCTA5 02066,61326
458,ZCTA5 02067,75325
459,ZCTA5 02071,-
460,ZCTA5 02072,53344
461,ZCTA5 02081,57093
462,ZCTA5 02090,46972
463,ZCTA5 02093,56518
464,ZCTA5 02108,111852
465,ZCTA5 02109,128314
466,ZCTA5 02110,67292
467,ZCTA5 02111,54417
468,ZCTA5 02113,97512
469,ZCTA5 02114,97794
470,ZCTA5 02115,42065
471,ZCTA5 02116,92649
472,ZCTA5 02118,62619
473,ZCTA5 02119,18706
474,ZCTA5 02120,42045
475,ZCTA5 02121,26088
476,ZCTA5 02122,52787
477,ZCTA5 02124,38284
478,ZCTA5 02125,47376
479,ZCTA5 02126,37232
480,ZCTA5 02127,123246
481,ZCTA5 02128,54733
482,ZCTA5 02129,105691
483,ZCTA5 02130,86025
484,ZCTA5 02131,59244
485,ZCTA5 02132,62313
486,ZCTA5 02133,-
487,ZCTA5 02134,62152
488,ZCTA5 02135,79178
489,ZCTA5 02136,42379
490,ZCTA5 02138,79303
491,ZCTA5 02139,96080
492,ZCTA5 02140,104167
493,ZCTA5 02141,89460
494,ZCTA5 02142,112625
495,ZCTA5 02143,97342
496,ZCTA5 02144,107077
497,ZCTA5 02145,93953
498,ZCTA5 02148,53603
499,ZCTA5 02149,42481
500,ZCTA5 02150,39635
501,ZCTA5 02151,41430
502,ZCTA5 02152,58125
503,ZCTA5 02155,79277
504,ZCTA5 02163,63281
505,ZCTA5 02169,63356
506,ZCTA5 02170,79877
507,ZCTA5 02171,67982
508,ZCTA5 02176,58857
509,ZCTA5 02180,62875
510,ZCTA5 02184,69386
511,ZCTA5 02186,41460
512,ZCTA5 02188,54480
513,ZCTA5 02189,48088
514,ZCTA5 02190,67935
515,ZCTA5 02191,63117
516,ZCTA5 02199,60978
517,ZCTA5 02203,-
518,ZCTA5 02205,-
519,ZCTA5 02210,147894
520,ZCTA5 02215,44432
521,ZCTA5 02301,31769
522,ZCTA5 02302,32523
523,ZCTA5 02322,-
524,ZCTA5 02324,50709
525,ZCTA5 02325,-
526,ZCTA5 02330,41118
527,ZCTA5 02332,62325
528,ZCTA5 02333,53199
529,ZCTA5 02338,40250
530,ZCTA5 02339,43482
531,ZCTA5 02341,42833
532,ZCTA5 02343,43362
533,ZCTA5 02346,58106
534,ZCTA5 02347,61339
535,ZCTA5 02350,-
