START DATE(UTC), END DATE(UTC), START TIME(LOCAL), END TIME(LOCAL), DURATION, NAME, LOCATION, NOTE
2/9/20 23:45, 2020-02-10 00:00:18, 2020-02-09 15:45:41 PST, 2020-02-09 16:00:18 PST,877, Cycle, , 
2/10/20 0:11, 2020-02-10 00:40:42, 2020-02-09 16:11:29 PST, 2020-02-09 16:40:42 PST,1753, Transport, , 
2/10/20 0:51, 2020-02-10 01:07:35, 2020-02-09 16:51:32 PST, 2020-02-09 17:07:35 PST,963, Groceries, Costco, 
2/10/20 1:09, 2020-02-10 01:25:31, 2020-02-09 17:09:10 PST, 2020-02-09 17:25:31 PST,981, Dinner, Whole Foods Market, 
2/10/20 1:25, 2020-02-10 01:36:15, 2020-02-09 17:25:31 PST, 2020-02-09 17:36:15 PST,644, Transport, , 
2/10/20 1:36, 2020-02-10 02:51:24, 2020-02-09 17:36:15 PST, 2020-02-09 18:51:24 PST,4509, Home, , 
2/10/20 3:01, 2020-02-10 06:13:15, 2020-02-09 19:01:32 PST, 2020-02-09 22:13:15 PST,11503, Studying, Robert E. Kennedy Library- 24/7 Study Room, 
2/10/20 6:13, 2020-02-10 06:15:28, 2020-02-09 22:13:15 PST, 2020-02-09 22:15:28 PST,133, Transport, , 
2/10/20 6:20, 2020-02-10 06:23:38, 2020-02-09 22:20:50 PST, 2020-02-09 22:23:38 PST,168, Transport, , 
2/10/20 6:23, 2020-02-10 18:00:06, 2020-02-09 22:23:38 PST, 2020-02-10 10:00:06 PST,41788, Home, , 
2/10/20 9:00, 2020-02-10 17:15:12, 2020-02-10 01:00:23 PST, 2020-02-10 09:15:12 PST,29689, Sleep, , 
2/10/20 18:00, 2020-02-10 18:13:47, 2020-02-10 10:00:06 PST, 2020-02-10 10:13:47 PST,821, Transport, , 
2/10/20 18:13, 2020-02-10 19:59:12, 2020-02-10 10:13:47 PST, 2020-02-10 11:59:12 PST,6325, Home, , 
2/10/20 19:59, 2020-02-10 20:02:42, 2020-02-10 11:59:12 PST, 2020-02-10 12:02:42 PST,210, Transport, , 
2/10/20 20:09, 2020-02-10 20:12:45, 2020-02-10 12:09:36 PST, 2020-02-10 12:12:45 PST,189, Transport, , 
2/10/20 20:12, 2020-02-10 21:01:19, 2020-02-10 12:12:45 PST, 2020-02-10 13:01:19 PST,2914, Home, , 
2/10/20 21:01, 2020-02-10 21:04:34, 2020-02-10 13:01:19 PST, 2020-02-10 13:04:34 PST,195, Walk, , 
2/10/20 22:13, 2020-02-10 22:16:40, 2020-02-10 14:13:15 PST, 2020-02-10 14:16:40 PST,205, Transport, , 
2/10/20 22:16, 2020-02-10 23:44:49, 2020-02-10 14:16:40 PST, 2020-02-10 15:44:49 PST,5289, Home, , 
2/10/20 23:44, 2020-02-10 23:54:31, 2020-02-10 15:44:49 PST, 2020-02-10 15:54:31 PST,582, Transport, , 
2/11/20 0:04, 2020-02-11 00:12:37, 2020-02-10 16:04:41 PST, 2020-02-10 16:12:37 PST,476, Transport, , 
2/11/20 0:12, 2020-02-11 01:44:13, 2020-02-10 16:12:37 PST, 2020-02-10 17:44:13 PST,5496, Home, , 
2/11/20 1:44, 2020-02-11 02:02:07, 2020-02-10 17:44:12 PST, 2020-02-10 18:02:07 PST,1075, Commute to work, , 
2/11/20 1:56, 2020-02-11 01:59:28, 2020-02-10 17:56:47 PST, 2020-02-10 17:59:28 PST,161, Transport, , 
2/11/20 2:02, 2020-02-11 04:22:10, 2020-02-10 18:02:07 PST, 2020-02-10 20:22:10 PST,8403, School, Cal Poly Recreation Center, 
2/11/20 4:22, 2020-02-11 04:44:37, 2020-02-10 20:22:09 PST, 2020-02-10 20:44:37 PST,1348, Commute to home, , 
2/11/20 4:22, 2020-02-11 04:28:32, 2020-02-10 20:22:14 PST, 2020-02-10 20:28:32 PST,378, Transport, , 
2/11/20 4:29, 2020-02-11 04:41:36, 2020-02-10 20:29:05 PST, 2020-02-10 20:41:36 PST,751, Walk, , 
2/11/20 4:44, 2020-02-11 19:23:48, 2020-02-10 20:44:37 PST, 2020-02-11 11:23:48 PST,52751, Home, , 
2/11/20 8:26, 2020-02-11 17:20:25, 2020-02-11 00:26:02 PST, 2020-02-11 09:20:25 PST,32063, Sleep, , 
2/11/20 19:23, 2020-02-11 19:27:32, 2020-02-11 11:23:47 PST, 2020-02-11 11:27:32 PST,225, Commute to work, , 
2/11/20 19:23, 2020-02-11 19:25:52, 2020-02-11 11:23:48 PST, 2020-02-11 11:25:52 PST,124, Transport, , 
2/11/20 19:27, 2020-02-11 23:10:27, 2020-02-11 11:27:32 PST, 2020-02-11 15:10:27 PST,13375, School, , 
2/11/20 23:10, 2020-02-11 23:24:55, 2020-02-11 15:10:26 PST, 2020-02-11 15:24:55 PST,869, Commute to home, , 
2/11/20 23:18, 2020-02-11 23:24:55, 2020-02-11 15:18:14 PST, 2020-02-11 15:24:55 PST,401, Transport, , 
2/11/20 23:24, 2020-02-12 01:54:59, 2020-02-11 15:24:55 PST, 2020-02-11 17:54:59 PST,9004, Home, , 
2/12/20 1:54, 2020-02-12 02:03:58, 2020-02-11 17:54:59 PST, 2020-02-11 18:03:58 PST,539, Transport, , 
2/12/20 4:05, 2020-02-12 04:17:56, 2020-02-11 20:05:27 PST, 2020-02-11 20:17:56 PST,749, Transport, , 
2/12/20 4:17, 2020-02-12 04:25:11, 2020-02-11 20:17:56 PST, 2020-02-11 20:25:11 PST,435, Groceries, Trader Joe's, 
2/12/20 4:25, 2020-02-12 04:34:49, 2020-02-11 20:25:11 PST, 2020-02-11 20:34:49 PST,578, Transport, , 
2/12/20 4:34, 2020-02-12 17:54:14, 2020-02-11 20:34:49 PST, 2020-02-12 09:54:14 PST,47965, Home, , 
2/12/20 9:37, 2020-02-12 16:38:42, 2020-02-12 01:37:28 PST, 2020-02-12 08:38:42 PST,25274, Sleep, , 
2/12/20 17:54, 2020-02-12 18:01:33, 2020-02-12 09:54:14 PST, 2020-02-12 10:01:33 PST,439, Transport, , 
2/12/20 18:08, 2020-02-12 20:11:42, 2020-02-12 10:08:47 PST, 2020-02-12 12:11:42 PST,7375, Home, , 
